Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,157.25,-105.25,0.0,top
C1,147.0,-99.5,180.0,top
C10,145.75,-114.5,270.0,top
C2,147.0,-101.25,180.0,top
C3,159.0,-114.0,270.0,top
C4,157.25,-102.75,0.0,top
C5,149.25,-111.25,270.0,top
C6,150.5,-103.5,180.0,top
C7,143.5,-96.0,270.0,top
C9,143.0,-105.5,90.0,top
D1,142.75,-100.25,270.0,top
D3,156.0,-99.25,0.0,top
D4,143.5,-115.5,90.0,top
D6,145.4,-104.5,90.0,top
J1,152.5,-118.25,0.0,top
L2,144.75,-111.5,180.0,top
PS1,144.649999,-108.75,270.0,top
R1,159.0,-118.0,270.0,top
R10,151.25,-100.25,270.0,top
R11,149.5,-100.25,270.0,top
R2,146.0,-118.0,270.0,top
R3,160.75,-114.0,270.0,top
R4,147.5,-111.25,270.0,top
R5,141.75,-93.5,270.0,top
R6,150.5,-105.25,0.0,top
R7,148.0,-104.5,270.0,top
R8,156.0,-101.0,0.0,top
R9,143.5,-92.75,270.0,top
RESET1,157.25,-109.25,0.0,top
U1,152.5,-89.9,0.0,top
U2,151.75,-111.6125,270.0,top
U5,149.25,-107.75,270.0,top
